,RANK,FARM,SCORE,Weight (lbs),Bid ($/lb),Total Value ($),Winner
0,1a,Legese,90.69,529.1,$ 400.50,"$ 211,904.55",LNK Coffee Trading DMCC for Lebunna弘顺
1,1b,Legese,90.69,529.1,$ 400.00,"$ 211,640.00",SAZA COFFEE ( Japan ) & Orsir Coffee (Taiwan)
2,2,Kenean,90.25,363.8,$ 189.10,"$ 68,794.58",Sulalat Coffee Trading
3,3a,A/ Temam,90.19,1190.0,$ 53.11,"$ 63,200.90","Simple Kaffa The Coffe One, Kakalove (Taiwan), Urban Coffee Roaster (HK), Pebble Coffee (Taiwan), Stellar on Coffee (KOREA), The Hub Coffee, Goodboybob Coffee Roasters, Diff Coffee Roasters (Thailand)"
4,3b,A/ Temam,90.19,1124.0,$ 55.60,"$ 62,494.40",KALDI COFFEE FARM
5,4,Bukato,90.17,1190.0,$ 90.00,"$ 107,100.00",Sulalat Coffee Trading
6,5,Samuel,90.08,628.3,$ 58.50,"$ 36,755.55",SARUTAHIKO COFFEE
7,6,Tilahune,89.92,1918.0,$ 30.70,"$ 58,882.60",Kyokuto Fadie Corporation
8,7,Wolde,89.78,529.1,$ 51.99,"$ 27,507.91",Blue Bottle Coffee
9,8,Muluneh,89.56,1422.0,$ 26.70,"$ 37,967.40",BEAN SUPER豆超國際 / 百啡有光 / 云境農莊 / 麟閣咖啡 / 樂波波珈琲 / 93咖啡 93 Coffee Beans & Tools / Coffee L&J / Cafetaster咖啡嗜者 / =.= 小眼睛．手作．咖啡館
10,9,Abebe,89.36,1753.0,$ 50.50,"$ 88,526.50",Sulalat Coffee Trading.
11,10,Nare,88.78,2017.0,$ 20.21,"$ 40,763.57",Linking Coffee & 步昂咖啡.
12,11,Aman,88.44,1356.0,$ 17.10,"$ 23,187.60",KAFFEBRENNERIET AS
13,12,Yosefe Kasaye,88.44,1290.0,$ 28.70,"$ 12,338.13",Coffee Tech Ltd. C&B Coffee Roasters. Demitasse. YOLK 요크.印格咖啡 IngenuityCoffee
14,13,Abiyot,88.42,2249.0,$ 15.00,"$ 19,350.00","意可坊咖啡 for Cut Hand Group (剁手咖啡群) & Captain George乔治队长/ 领地La Finca/ 长沙陆光咖啡/ PAGA CO.,LTD/ kisscoffee/ Diff Coffee Roasters/ 18RESERVA/ 咖乐乐KOLAKOLA COFFEE"
15,14,Dush,88.33,1620.0,$ 12.20,"$ 27,437.80",Keffa Coffee
16,15,Legese,88.31,892.9,$ 15.00,"$ 24,300.00",Black Gold Coffee
17,16,Butu Gelcha,88.22,1124.0,$ 21.00,"$ 18,750.90","Snow Beans Coffee, Japan Roasters Network by Maruyama Coffee"
18,17,Yohannes,88.17,1157.0,$ 20.10,"$ 22,592.40","Orsir International Co., Ltd."
19,18,Alemayehu,88.17,330.7,$ 13.10,"$ 15,156.70",Linking Coffee & 步昂咖啡.
20,19,Genale Gamada,88.11,595.3,$ 36.00,"$ 11,905.20",Sulalat Coffee Trading
21,20,Sentayehu,88.11,859.8,$ 29.10,"$ 17,323.23","Nanjing Eco Farm Trading Co., Ltd."
22,21,Desalegn,88.06,925.9,$ 11.00,"$ 9,457.80",Brulerie du Quai
23,22,Bukku Abele,88.03,727.5,$ 11.00,"$ 10,184.90",Full Sweet Coffee
24,23,Awol,87.92,1058.0,$ 18.10,"$ 13,167.75","Nanjing Eco Farm Trading Co., Ltd."
25,24,Fuad,87.92,2116.0,$ 15.10,"$ 15,975.80",Linking Coffee & 步昂咖啡.
26,25,Tadesse,87.86,1984.0,$ 21.20,"$ 44,859.20","Kakalove (Taiwan), Simple Kaffa The Coffe One, Urban Coffee Roaster (HK), Pebble Coffee (Taiwan)"
27,26,Ayele,87.81,496.0,$ 9.10,"$ 18,054.40","Wataru & Co., Ltd."
28,27,Gemeda,87.75,2116.0,$ 16.60,"$ 8,233.60",Wataru for Voila Coffee
29,28,Aberashe,87.28,694.5,$ 9.00,"$ 19,044.00","Wataru & Co., Ltd."
30,29,Alem,87.17,1323.0,$ 18.00,"$ 12,501.00",Artist Hub Coffee Company
31,30,Geno,87.17,36538.9,$ 8.60,"$ 11,377.80",honu加藤珈琲店株式会社
32,Totals,,,72647.9,Auction Average $/lb.  $55.37,"Total Auction Value $1,370,736.17","Total Auction Value $1,370,736.17"
