,Rank,Score,Farm,Farmer,Region,Weight (KG),Process,Variety
0,1a,91.13,Coffee De Hmong Biofarm,Wichai Kamnerdmongkon,Nan,36.18,Honey,"Java 70% Others: Catimor, Typica, Yellow bourbon 30%"
1,1b,91.13,Coffee De Hmong Biofarm,Wichai Kamnerdmongkon,Nan,30.0,Honey,"Java 70% Others: Catimor, Typica, Yellow bourbon 30%"
2,2,89.5,Phala Akha Coffee Farm,Suwan Woeiyueku,Chiang Rai,69.72,Dry/Natural,Catimor
3,3,89.13,Soft Coffee Farm,Radchadaporn Junprasert,Chiang Mai,80.32,Dry/Natural,Catimor
4,4,88.93,Cherpong village,Cherdpong Sikkajareon,Chiang Rai,69.48,Dry/Natural,Catimor
5,5,88.8,Amazingcoffee at Mae Chan Tai,Natthaphon Chooemue,Chaing Rai,70.28,Dry/Natural,Catimor
6,6,88.8,Doi Pakgud coffee,Chatchai Khabu,Mae Hong Sorn,77.34,Dry/Natural,Catimor
7,7,88.73,DoiTung,Sitthinadda Paphavasit,Chaing Rai,74.88,Washed,Gayo and Bourbon
8,8,88.63,Ma Family Coffee Farm,Monthira Mayer,Chiang Rai,71.86,Dry/Natural,Catimor
9,9,88.6,Doi Nan,Chalerm Dechanan,Nan,76.08,Honey,Catimor
10,10,88.37,Heramon farm,Warit Mantawali,Chaing Rai,71.9,Washed,Catimor
11,11,87.63,DoiTung – Scaling Project in Nan,Sitthinadda Paphavasit,Nan,74.72,Anaerobic NP,Bourbon
12,12,87.47,Follow Your Heart Coffee,Chaloemwong Yapangkoo,Chiang Rai,73.24,Honey,Catimor
13,13,87.4,Soyi,Aphisit Bise,Chaing Rai,121.76,Honey,Typica
14,14,87.3,Karen Farm,Wandee Saeyang,Chiang Mai,77.42,Dry/Natural,Catimor
15,15,87.2,Apae,Apae Leeja,Mae Hong Sorn,140.68,Dry/Natural,Catimor
16,16,87.2,Praiwan estate,Sanchai Pongpriwan,Chiang Mai,118.5,Honey,Bourbon typica cartimor
