,Year,Rank,Score,Farmer,Farm,Region,Process,Variety_1,Variety_2,Variety_3,Variety_4,Weight (Lbs),High Bid (US$),Total Value (US$),Company Name
0,2023,1A,91.41,Dandy Dharmawan,Ijen Lestari,Jawa Timur,Carbonic Maceration Natural,USDA 762,Kartika,,,396.83,45.5,18055.765,"Orsir International Co., Ltd."
1,2023,1B,91.41,Dandy Dharmawan,Ijen Lestari,Jawa Timur,Carbonic Maceration Natural,USDA 762,Kartika,,,391.19,43.6,17055.884000000002,SAVAYA Coffee Market – USA WAVY Coffee Roasters and GLITCH Coffee& Roasters by Marukai – Japan L’escargot d’or cosmetocafe – France
2,2023,2A,90.35,Marselina Walu,Wajamala,NTT,Dry Hulled,S-795,Typica,,,330.69,30.0,9920.7,"Coffee Me Up (Korea), Slick Coffee Co., Coffee Therapy (Thailand), Lotus Lab"
3,2023,2B,90.35,Marselina Walu,Wajamala,NTT,Dry Hulled,S-795,Typica,,,295.11,30.5,9000.855,"BIG BLACK BOX (Thailand), Casa Lapin, Koff&Bun, Nicherry"
4,2023,3A,90.06,Yolan Tirta,Angin-angin,Sulawesi Selatan,Honey,Lini S-795,,,,298.51,26.25,7835.8875,"BLACK GOLD COFFEE (TAIWAN), COFFEE PARTNER INTERNATIONAL (INDONESIA)"
5,2023,3B,90.06,Yolan Tirta,Angin-angin,Sulawesi Selatan,Honey,Lini S-795,,,,264.55,27.3,7222.215,CHG（手多多咖啡）
6,2023,4,90.06,Hendra Maulizar,Avarata Coffee,Aceh,Natural,Ateng,P-88,Other (unspecified),Typica,582.5,10.0,5825.0,Coffee Beyond Borders
7,2023,5,89.47,Enzo Sauqi Hutabarat,Central Sumatera Coffee,Aceh,Natural,Typica,Abyssinia,Bourbon,,773.16,8.6,6649.1759999999995,List & Beisler LA BOHEME
8,2023,6,89.35,Hj. Eti Sumiati,Wanoja Coffee Plot Hj. Eti Sumiati,Jawa Barat,Honey,Sigararutang,Ateng,S-795,,568.48,10.37,5895.1376,SAVAYA COFFEE MARKET – USA LaB Coffee & Roasters
9,2023,7,89.21,Syafjurian Putra,Atang Jungket,Aceh,Natural,Gayo 3,Gayo 1,,,581.18,15.8,9182.644,Coffee Beyond Borders
10,2023,8,89.15,Samuel Karundeng,Rantekarua Coffee Plantation PT. Sulotco Jaya Abadi,Sulawesi Selatan,Natural,Caturra,S-795,USDA,,571.53,9.3,5315.229,"La Pluma & Bohemian, ESCUDO COFFEE"
11,2023,9,88.38,Fauziah,PT. De Gayo Agri Indonesia,Aceh,Natural,Ateng,,,,573.95,11.8,6772.610000000001,Sulalat Coffee Trading
12,2023,10,88.15,Diki Wahyudin,Finca De Berman,Jawa Barat,Honey Anaerobic,S-795,Ateng,,,608.65,9.0,5477.849999999999,"Wataru & Co., Ltd."
13,2023,11,88.06,Zakiah,Koperasi Ribang Gayo Musara,Aceh,Natural,Ateng,P-88,,,723.51,7.0,5064.57,"Wataru & Co., Ltd."
14,2023,12,88.03,I Wayan Suparta,Pelage Coffee,Bali,Dry Hulled,Kopyol,,,,571.0,8.6,4910.599999999999,"Wataru & Co., Ltd."
15,2023,13,87.97,Nurdianingsih,Bengkolan Dua Farm,Aceh,Dry Hulled,Ateng,Sigararutang,,,584.22,10.2,5959.044,"Wataru & Co., Ltd."
16,2023,14,87.97,Eka Teguh Kurniawan,Blok Emper,Jawa Barat,Honey double fermentation,Sigararutang,Andungsari,,,574.88,11.11,6386.9168,"MUSEO Co., Ltd."
17,2023,15,87.82,Satrea Amambi,Wanoja Coffee Plot Satrea Amambi,Jawa Barat,Natural,Ateng,S-795,Sigararutang,,584.53,10.9,6371.3769999999995,M.I.Coffee Corporation
18,2023,16,87.65,Ita Rosita,Wanoja Coffee Plot Ita Rosita,Jawa Barat,Natural,Sigararutang,,,,566.19,11.1,6284.709000000001,Wataru for Voila Coffee
19,2023,17,87.59,Yasmin Nabila Salsabila,Weninggalih,Jawa Barat,Natural,Ateng,Sigararutang,S-795,P-88,578.14,10.2,5897.027999999999,SUPREMO COFFEE – Germany
20,2023,18,87.47,Zainal Arifin,Kian Mandiri Farm,Aceh,Mossto Natural,Ateng,P-88,Typica,,621.44,10.2,6338.688,Campos Coffee
21,2023,19,87.35,Marjan,Siluk Coffee,Aceh,Wet Hulled,Ateng,,,,898.03,13.6,12213.207999999999,Coffee Beyond Borders
22,2023,20,87.35,Supriyanto,Suket Mountain/Gunung Suket,Jawa Timur,Natural,Bourbon,Typica,,,908.3,6.25,5676.875,"Wataru & Co., Ltd."
23,2023,21,87.32,Abdul Aziz Thohari,Rukun Saudara Farm,Jambi,Honey Caramella,Sigararutang,Andungsari,,,588.37,16.4,9649.268,Solberg & Hansen
24,2023,22,87.24,Ferri Padli,Empus Reje Guru,Aceh,Natural,Red Bourbon,,,,577.39,8.45,4878.9455,"Cuppers of Korea, Woojongho Coffee, Imbarista, Five_C_CoffeeWorks, AG COFFEE, Q_coffee_lab, Look at the Barista"
