,Rank,Farm,Score,Weight (lbs),High Bid,Total Value,Company Name
0,1,Pantan Musara,89.28,462.97,$80.00,"$37,037.60",Wataru for YAMATOYA COFFEE
1,2,Ibun Ita,89.04,410.06,$65.20,"$26,735.91",Proud Mary Coffee Roasters
2,3,Pantan Musara,88.89,577.61,$69.10,"$39,912.85",Terarosa (Haksan Co. Ltd)
3,4,Ijen Lestari,88.75,791.46,$35.20,"$27,860.80",SUPREMO COFFEE
4,5,Ibun Yudi,88.58,454.15,$25.10,"$11,399.17",Latorre&Dutch (China) for Cut Hand Group（剁手咖啡群）/ Gee Coffee
5,6,Koperasi Koerintji Barokah,88.49,454.15,$21.70,"$9,855.06","MARISSTELLA COFFEE, INTELLIGENTSIA, RYANS COFFEE ROASTERS"
6,7,Avatara Gayo,88.46,480.61,$45.20,21723.57,Blue Bottle Coffee
7,8,Kamojang,88.3,447.54,$19.20,8592.77,"MUSEO Co., Ltd. // wondumyungga cafe de Jura alacarte // liike coffee"
8,9,Topidi,88.25,416.67,$24.30,10125.08,"Orsir Coffee Co., Ltd."
9,10,Lereng Gunung Argopuro Krucil,88.15,427.7,$24.20,10350.34,Herd Coffee Roaster. CARA Instant Coffee. Beska Beans. Mokka Coffee Roaster. Alliance for Coffee Excellence. Coffee Cherry. Coffee Drxx & Bean2Cup
10,11,Topidi,88.14,462.97,$18.60,8611.24,"Wataru & Co., Ltd."
11,12,PT Sulotco Jaya Abadi,88.05,462.97,$19.30,8935.32,"Tashiro Coffee Co., Ltd"
12,13,Malabar Mountain Coffee,87.88,346.13,$32.20,"$11,145.39",Cometeer
13,14,Baru Dadap Petak 46,87.76,522.5,$22.60,"$11,808.50",Kopikina Coffee Roaster
14,15,Ketapanrame,87.72,456.36,$25.30,"$11,545.91",Curve Specialty coffee Roastery
15,16,Sukaramai,87.71,407.86,$21.90,"$8,932.13",TAKAMURA COFFEE ROASTERS
16,17,Batukaang,87.69,429.9,$19.00,"$8,168.10","Wataru & Co., Ltd."
17,18,Angin-angin,87.68,462.97,$20.10,"$9,305.70",Seng Pan Coffee. Mimosa Coffee. SCAI. Herd Coffee Roaster. Idle Hands Coffee Roasters. Mokka Coffee Roaster
18,19,Gravfarm Sukaratu,87.62,520.29,$19.20,"$9,989.57","Wataru & Co., Ltd."
19,20,Papandayan,87.62,478.4,$19.70,"$9,424.48",Luigi Lavazza S.p.A.
20,21,LPE Kelola Agro,87.53,476.2,$25.10,"$11,952.62",MOMOS COFFEE
21,22,Sarongge,87.22,462.97,$19.90,"$9,213.10",elbgold Roestkaffee GmbH
22,23,Pantan Musara,87.21,454.15,$25.50,"$11,580.83",Sarutahiko Coffee Inc.
23,24,Bukit Sama,87.21,454.15,$23.00,"$10,445.45",Wataru for Voila Coffee
24,25,Wajamala,87.16,478.4,$18.20,"$8,706.88","Wataru & Co., Ltd."
25,26,HT Farm,87.1,396.83,$17.60,"$6,984.21",Blooms Ltd
26,Totals:,,,12195.97,$29.55/lb,"$360,342.58",
