,Rank,Farm,Score,Weight (Lbs),High Bid,Total Value,Company Name
0,1a,Koperasi Ribang Gayo Musara,90.59,429.9,$ 40.20,"$ 17,281.98",Sulalat Coffee Trading
1,1b,Koperasi Ribang Gayo Musara,90.59,396.83,$ 40.20,"$ 15,952.57","Coffee Beyond Borders for Uminomuko Coffee, Xtrat"
2,2,Pegasing Takengon Utara,89.85,595.25,$ 20.20,"$ 12,024.05",La Boheme Cafe
3,3,Frinsa Weninggalih,89.59,595.25,$ 26.90,"$ 16,012.23","Coffee Beyond Borders for Uminomuko Coffee, Xtrat"
4,4,Koperasi Ribang Gayo Musara,89.18,793.66,$ 15.20,"$ 12,063.63",La Boheme Cafe & Huracan Coffee
5,5,Koperasi Ribang Gayo Musara,89.15,793.66,$ 13.50,"$ 10,714.41",Kyokuto Fadie Corporation
6,6,Panangan Mata Takengon Utara,88.91,562.18,$ 14.10,"$ 7,926.74","Coffee Therapy (Thailand), Coffee Me Up (Korea), Dabov Specialty Coffee (Bulgaria), BIG BLACK BOX (Thailand), Casa Lapin (Thailand), MARISSTELLA COFFEE (Korea)"
7,7,Koperasi Ribang Gayo Musara,88.68,826.73,$ 19.55,"$ 16,162.57",Coffee Beyond Borders for Uminomuko Coffee
8,8,Koperasi Ribang Gayo Musara,88.5,793.66,$ 10.70,"$ 8,492.16",Kyokuto Fadie Corporation
9,9,Terang Ulen,88.09,562.18,$ 20.20,"$ 11,356.04",Blue Bottle Coffee
10,10,"Ceding Ayu, Pantan Musara",87.85,562.18,$ 13.30,"$ 7,476.99","Dabov Specialty Coffee, Coffee Therapy (Thailand), Joy Coffee & Cacao"
11,11,Renggali,87.74,694.46,$ 9.70,"$ 6,736.26","Wataru & Co., Ltd."
12,12,Koerintji Barokah Group,87.74,595.25,$ 20.10,"$ 11,964.53",SARUTAHIKO COFFEE
13,13,Koerintji Farm,87.65,562.18,$ 14.50,"$ 8,151.61",Wataru for Voila Coffee
14,14,"Ceding Ayu, Pantan Musara",87.62,793.66,$ 14.60,"$ 11,587.44",Campos Coffee
15,15,Ijen,87.62,1058.2,$ 10.10,"$ 10,688.02",SUPREMO COFFEE
16,16,Avatara Coffee,87.59,562.18,$ 10.90,"$ 6,127.76","UCC UESHIMA COFFEE CO.,LTD"
17,17,Koperasi Ribang Gayo Musara,87.53,793.66,$ 12.80,"$ 10,158.85",honu加藤珈琲店株式会社
18,18,Koperasi Ribang Gayo Musara,87.53,793.66,$ 13.2,"$ 10,476.31",TAKAMURA COFFEE ROASTERS By Marukai and Idle Hands Roasting Company
19,19,Tunas Baru Farm,87.35,595.25,$ 10.10,"$ 6,012.03","Coffee Tech Limited (NZ)/coffee-tech.co.nz Upstream Coffee Imports , Marukai corporation ,Slick Coffee Co."
20,20,Dasimah bukit sama,87.15,562.18,$ 9.00,"$ 5,059.62","Wataru & Co., Ltd."
21,21,Jaya Tani Farm,87.15,595.25,$ 20.10,"$. 11,964.53","Coffee Tech Limited (NZ)/coffee-tech.co.nz Cut Hand Group（剁手咖啡群）& Kinglo Coffee（轻乐咖）, Ryans Coffee Roasters , 群果貿易 Cheerbeans trading Co Ltd Taiwan , L’escargot d’or cosmetocafe ,Slick Coffee Co."
22,22,Koperasi Ribang Gayo Musara,87.06,826.73,$ 9.70,"$ 8,019.28","Wataru & Co., Ltd."
23,Totals,,,15344.16,Auction Average $/lb. $16.91,"Total Auction Value $242,409.61",
