,Rank,Score,Farm,Farmer,Region,Weight(Lbs),Variety,Process
0,1A,90.59,Koperasi Ribang Gayo Musara,Bahagia Ginting,Aceh,429.9,"Ateng 30%, P-88 70%",Natural
1,1B,90.59,Koperasi Ribang Gayo Musara,Bahagia Ginting,Aceh,396.83,"Ateng 30%, P-88 70%",Natural
2,2,89.85,Pegasing Takengon Utara,PT. Biji Kopi Internusa,Aceh,595.25,"Sigararutang 70%, Typica 30%",Natural
3,3,89.59,Frinsa Weninggalih,Yasmin Nabila Salsabila,Jawa Barat,595.25,"Sigararutang 16%, S-795 50%, P-88 17%, Bourbon 17%",Anaerobic Natural
4,4,89.18,Koperasi Ribang Gayo Musara,Zakiah,Aceh,793.66,"Ateng 50%, Bourbon 20%, P-88 30%",Natural
5,5,89.15,Koperasi Ribang Gayo Musara,Dimas Apriandi,Aceh,793.66,"Ateng 65%, P-88 35%",Washed
6,6,88.91,Panangan Mata Takengon Utara,Christian,Aceh,562.18,"Sigararutang 70%, Typica 30%",Honey
7,7,88.68,Koperasi Ribang Gayo Musara,Asman Arianto,Aceh,826.73,"Ateng 50%, Bourbon 20%, P-88 30%",Honey
8,8,88.5,Koperasi Ribang Gayo Musara,Dilen Ali Gogo,Aceh,793.66,"Ateng 50%, Bourbon 20%, P-88 30%",Honey
9,9,88.09,Terang Ulen,Fahman Yoga,Aceh,562.18,"Ateng 40%, Typica 20%, Tim-Tim 40%",Wet Hulled
10,10,87.85,"Ceding Ayu, Pantan Musara",Drs Hamdan,Aceh,562.18,"Ateng 40%, Typica 20%, Caturra 20%, P-88 20%",Carbonic Maceration Honey
11,11,87.74,Renggali,Hakem Murtada,Aceh,694.46,"Ateng 30%, Typica 40%, Yang Lain 30%",Wet Hulled
12,12,87.74,Koerintji Barokah Group,Abdul Aziz Thohari,Jambi,595.25,"Sigararutang 70%, Andungsari 30%",Lactic Natural
13,13,87.65,Koerintji Farm,Ahmad Abi Sodik,Jambi,562.18,"Sigararutang 70%, Andungsari 30%",Washed
14,14,87.62,"Ceding Ayu, Pantan Musara",Eriyani N,Aceh,793.66,"Ateng 40%, Typica 20%, Caturra 20%, P-88 20%",Anaerobic Natural
15,15,87.62,Ijen,Dandy Dharmawan,Jawa Timur,1058.22,"USDA 80%, Kartika 20%",Anaerobic Natural
16,16,87.59,Avatara Coffee,Hendra Maulizar,Aceh,562.18,"Ateng 25%, Typica 20%, P-88 30%, Yang Lain 25%",Washed
17,17,87.53,Koperasi Ribang Gayo Musara,Rudi Suwito,Aceh,793.66,"Ateng 40%, P-88 30%, Gayo 1 30%",Washed
18,18,87.47,Koperasi Ribang Gayo Musara,Roberto Bagus Syahputra,Aceh,793.66,"Ateng 30%, P-88 70%",Washed
19,19,87.35,Tunas Baru Farm,Irwandi,Jambi,595.25,"Sigararutang 60%, Andungsari 40%",Anaerobic Natural
20,20,87.15,Dasimah bukit sama,Yurda,Aceh,562.18,Ateng 100%,Honey
21,21,87.15,Jaya Tani Farm,Triyono,Jambi,595.25,"Sigararutang 40%, S-795 50%, Andungsari 10%",Anaerobic Natural
22,22,87.06,Koperasi Ribang Gayo Musara,Victor Nopriansyah,Aceh,826.73,Ateng,Washed
